# set xran [0.0:0.49497890310677745]
# plot for [ii=2:49] 'pyband.dat' u 1:ii with line lc rgb '#000' t ''
# 
    0.0625   -14.2051   -13.8805   -13.4660   -13.2850    -6.6089    -6.2290    -5.5208    -5.3066    -5.0869    -4.8301    -3.9042    -3.8440    -2.8246    -2.5251    -2.5084    -2.4181    -2.0651    -1.9326     1.1598     1.2483     1.6897     1.7905     2.3541     2.9329     3.0034     3.6051     5.8455     6.1868     6.4658     6.8936     7.4754     7.5942     7.6617     8.5902     9.0655     9.6619    10.1702    10.9502    11.1122    11.4713    11.5554    11.7067    12.1608    12.7353    13.1434    13.7261    13.8230    13.9423
    0.0687   -14.3155   -13.9760   -13.5110   -13.3253    -6.5203    -6.1497    -5.4980    -5.2204    -4.9908    -4.8052    -3.8325    -3.7756    -2.7766    -2.5847    -2.5023    -2.4582    -2.0285    -1.9082     1.1817     1.2006     1.6771     1.7338     2.2630     2.8352     2.9521     3.5399     5.9037     6.1058     6.4812     6.9899     7.6322     7.6669     7.7458     8.5756     9.0059     9.7396    10.2112    11.0526    11.2661    11.3035    11.3991    11.8485    12.1710    12.7741    12.9854    13.5186    13.7217    13.8262
    0.0750   -14.4271   -14.0730   -13.5570   -13.3665    -6.4563    -6.0752    -5.4809    -5.1234    -4.9043    -4.7504    -3.7554    -3.7022    -2.7237    -2.6656    -2.5906    -2.3874    -1.9719    -1.8630     1.1601     1.2103     1.6730     1.6831     2.1699     2.7323     2.8946     3.4671     5.8149     6.0817     6.5238     7.1002     7.6405     7.8363     7.9365     8.5518     8.9322     9.7847    10.2389    10.9455    11.2209    11.3128    11.4779    11.9528    12.1429    12.7974    12.8385    13.2563    13.5411    13.6495
    0.0812   -14.5386   -14.1702   -13.6033   -13.4081    -6.4269    -6.0108    -5.4501    -5.0258    -4.8363    -4.6508    -3.6735    -3.6240    -2.7505    -2.6822    -2.6670    -2.3134    -1.8974    -1.7985     1.1293     1.2453     1.6380     1.6783     2.0777     2.6267     2.8312     3.3869     5.6795     6.0257     6.5979     7.2056     7.6684     7.9987     8.1467     8.5150     8.8519     9.7755    10.2454    10.7848    11.1462    11.3569    11.6234    11.9991    12.0937    12.6778    12.7609    13.1285    13.3122    13.4721
    0.0875   -14.6487   -14.2665   -13.6494   -13.4496    -6.4349    -5.9666    -5.3922    -4.9349    -4.7617    -4.5242    -3.5874    -3.5416    -2.8381    -2.7747    -2.6090    -2.2385    -1.8087    -1.7171     1.1104     1.2865     1.5998     1.6922     1.9895     2.5208     2.7618     3.2994     5.5374     5.9377     6.6668     7.2914     7.7166     8.1498     8.3429     8.4765     8.7733     9.7173    10.2146    10.6885    11.0965    11.3648    11.7153    11.9768    12.0489    12.5267    12.5994    13.1389    13.1858    13.3272
    0.0937   -14.7564   -14.3610   -13.6949   -13.4905    -6.4749    -5.9515    -5.3021    -4.8488    -4.6669    -4.3859    -3.4978    -3.4556    -2.9273    -2.8679    -2.5507    -2.1648    -1.7119    -1.6207     1.1055     1.3334     1.5684     1.7144     1.9086     2.4172     2.6870     3.2051     5.3971     5.8348     6.7029     7.3437     7.7718     8.2416     8.4186     8.5548     8.7369     9.6417    10.1451    10.6538    11.0612    11.3150    11.7159    11.9063    12.0113    12.3669    12.4614    13.0025    13.2270    13.3370
    0.1000   -14.8606   -14.4525   -13.7391   -13.5303    -6.5378    -5.9661    -5.1843    -4.7583    -4.5578    -4.2419    -3.4057    -3.3665    -3.0165    -2.9600    -2.4945    -2.0947    -1.6141    -1.5109     1.1167     1.3851     1.5443     1.7440     1.8387     2.3185     2.6073     3.1050     5.2614     5.7261     6.6908     7.3467     7.8006     8.2419     8.4141     8.7135     8.8135     9.5761    10.0613    10.6278    11.0045    11.2427    11.6008    11.8161    11.9856    12.2156    12.4042    12.8493    13.2368    13.4479
    0.1062   -14.9604   -14.5404   -13.7817   -13.5688    -6.6150    -6.0041    -5.0473    -4.6586    -4.4419    -4.0948    -3.3125    -3.2751    -3.1040    -3.0499    -2.4426    -2.0308    -1.5215    -1.3905     1.1455     1.4409     1.5273     1.7789     1.7850     2.2275     2.5235     3.0000     5.1319     5.6163     6.6230     7.2840     7.7653     8.2265     8.4372     8.8748     8.9538     9.5293     9.9792    10.5593    10.9109    11.2027    11.4167    11.6766    12.0002    12.1004    12.3999    12.7359    13.2874    13.5511
    0.1125   -15.0550   -14.6239   -13.8223   -13.6054    -6.6995    -6.0575    -4.8987    -4.5501    -4.3234    -3.9463    -3.2277    -3.1833    -3.1802    -3.1353    -2.3974    -1.9759    -1.4376    -1.2644     1.1922     1.4996     1.5171     1.7478     1.8215     2.1468     2.4366     2.8913     5.0095     5.5077     6.4990     7.1552     7.6685     8.2456     8.5158     9.0071     9.1034     9.4993     9.8999    10.4500    10.7979    11.2070    11.2261    11.4876    12.0065    12.0746    12.4171    12.6381    13.3889    13.6260
    0.1187   -15.1437   -14.7022   -13.8605   -13.6399    -6.7864    -6.1198    -4.7446    -4.4357    -4.2046    -3.7974    -3.2773    -3.2211    -3.1171    -3.0882    -2.3614    -1.9327    -1.3643    -1.1378     1.2561     1.5133     1.5601     1.7338     1.8665     2.0789     2.3480     2.7807     4.8947     5.4018     6.3261     6.9787     7.5454     8.3064     8.6218     9.0667     9.2275     9.4948     9.8199    10.3527    10.7166    10.9916    11.2777    11.2926    11.9544    12.1387    12.4482    12.5554    13.5810    13.7386
